"idsite","idearthquake","idbuilding","psdr","pfa","idresponse"
103,1,9,0.00083191,0.053534,18273
103,1,9,0.00080964,0.069181,18274
103,1,9,0.00080954,0.096204,18275
103,1,9,0.00080512,0.11548,18276
103,1,9,0.00079635,0.12522,18277
103,1,9,0.0007832,0.12479,18278
103,1,9,0.00076594,0.11844,18279
103,1,9,0.00074433,0.11247,18280
103,1,9,0.00071829,0.09852,18281
103,1,9,0.00069686,0.090566,18282
103,1,9,0.00067389,0.091992,18283
103,1,9,0.00064947,0.090128,18284
103,1,9,0.00062291,0.085191,18285
103,1,9,0.00059412,0.080144,18286
103,1,9,0.00056296,0.099102,18287
103,1,9,0.00054616,0.11096,18288
103,1,9,0.00053143,0.11873,18289
103,1,9,0.00051428,0.12324,18290
103,1,9,0.00049637,0.12286,18291
103,1,9,0.00048755,0.11638,18292
103,1,9,0.00048488,0.10629,18293
103,1,9,0.00048891,0.093123,18294
103,1,9,0.0004854,0.084127,18295
103,1,9,0.00047612,0.076513,18296
103,1,9,0.00046247,0.070546,18297
103,1,9,0.000455,0.069365,18298
103,1,9,0.00044563,0.081639,18299
103,1,9,0.0004341,0.092519,18300
103,1,9,0.00041984,0.099883,18301
103,1,9,0.00040429,0.10429,18302
103,1,9,0.00039483,0.10467,18303
103,1,9,0.00039357,0.10495,18304
103,1,9,0.00039206,0.10933,18305
103,1,9,0.00038502,0.1107,18306
103,1,9,0.00037087,0.10972,18307
103,1,9,0.00035276,0.10654,18308
103,1,9,0.00034692,0.10232,18309
103,1,9,0.00016116,0.097972,18310
104,1,9,0.0057681,0.51645,18311
104,1,9,0.0060065,0.33768,18312
104,1,9,0.0061908,0.28762,18313
104,1,9,0.006295,0.26549,18314
104,1,9,0.006357,0.26019,18315
104,1,9,0.0063889,0.35219,18316
104,1,9,0.0065014,0.37975,18317
104,1,9,0.0065927,0.37363,18318
104,1,9,0.0066589,0.37023,18319
104,1,9,0.0066965,0.3834,18320
104,1,9,0.0066987,0.40424,18321
104,1,9,0.0066627,0.41163,18322
104,1,9,0.0065762,0.41226,18323
104,1,9,0.0064759,0.41245,18324
104,1,9,0.0062722,0.39931,18325
104,1,9,0.0059108,0.37957,18326
104,1,9,0.005384,0.35388,18327
104,1,9,0.0047452,0.36869,18328
104,1,9,0.004082,0.3675,18329
104,1,9,0.0034405,0.34643,18330
104,1,9,0.0028453,0.33285,18331
104,1,9,0.0025874,0.31158,18332
104,1,9,0.0025975,0.2902,18333
104,1,9,0.002651,0.28371,18334
104,1,9,0.0027167,0.27898,18335
104,1,9,0.0027777,0.26976,18336
104,1,9,0.0028245,0.26455,18337
104,1,9,0.0028529,0.25148,18338
104,1,9,0.0028601,0.25705,18339
104,1,9,0.0028515,0.26573,18340
104,1,9,0.0028355,0.26394,18341
104,1,9,0.002815,0.24763,18342
104,1,9,0.0027898,0.25891,18343
104,1,9,0.0027897,0.26793,18344
104,1,9,0.0028179,0.27142,18345
104,1,9,0.0028299,0.2694,18346
104,1,9,0.0028018,0.26385,18347
104,1,9,0.0027221,0.26397,18348
104,1,9,0.002605,0.25645,18349
104,1,9,0.002434,0.25064,18350
104,1,9,0.002182,0.24856,18351
104,1,9,0.00091195,0.26613,18352
105,1,9,0.0027117,0.53308,18353
105,1,9,0.0028027,0.36954,18354
105,1,9,0.0028305,0.25992,18355
105,1,9,0.0027889,0.23767,18356
105,1,9,0.0026803,0.23444,18357
105,1,9,0.0025862,0.23969,18358
105,1,9,0.0025452,0.24366,18359
105,1,9,0.0025033,0.25241,18360
105,1,9,0.0024176,0.27813,18361
105,1,9,0.0022809,0.28439,18362
105,1,9,0.0020832,0.28519,18363
105,1,9,0.0018361,0.29817,18364
105,1,9,0.0015771,0.31038,18365
105,1,9,0.0014761,0.30593,18366
105,1,9,0.0014006,0.30237,18367
105,1,9,0.0014257,0.29158,18368
105,1,9,0.0014371,0.28659,18369
105,1,9,0.001426,0.27976,18370
105,1,9,0.0013921,0.29276,18371
105,1,9,0.0014257,0.31336,18372
105,1,9,0.0014889,0.31779,18373
105,1,9,0.0015395,0.3141,18374
105,1,9,0.0015385,0.29341,18375
105,1,9,0.0015628,0.2794,18376
105,1,9,0.0015774,0.26288,18377
105,1,9,0.0015794,0.25001,18378
105,1,9,0.0015723,0.24192,18379
105,1,9,0.0015651,0.25752,18380
105,1,9,0.0015575,0.27368,18381
105,1,9,0.0015625,0.29135,18382
105,1,9,0.0015874,0.31164,18383
105,1,9,0.0016246,0.32899,18384
105,1,9,0.001655,0.33836,18385
105,1,9,0.0016752,0.33515,18386
105,1,9,0.0016793,0.32549,18387
105,1,9,0.0016629,0.3144,18388
105,1,9,0.0016243,0.30968,18389
105,1,9,0.0015577,0.3166,18390
105,1,9,0.0014565,0.33366,18391
105,1,9,0.0013174,0.35501,18392
105,1,9,0.0011515,0.38132,18393
105,1,9,0.00048386,0.40829,18394
106,1,9,0.004396,0.5278,18395
106,1,9,0.0045424,0.3949,18396
106,1,9,0.0046186,0.31923,18397
106,1,9,0.0046361,0.26884,18398
106,1,9,0.0045999,0.26802,18399
